egin{table}
egin{tabular}{|l|c|}
\hline 
star	teff	erteff	logg	erlogg	vtur	ervtur	feh	erfeh	NFEI	NFEII	mass	logg_hip	lumsol	erloglumsol	Mv	planet	sums\\ \hline
210918	5755	12	4.35	0.02	0.99	0.01	-0.09	0.01	254	35	0.933	4.28	1.323	0.014	4.51	no	1470.8\\ \hline
210975	4749	41	4.37	0.16	0.05	1.45	-0.43	0.02	252	29	0.693	4.74	0.159	0.038	7.16	no	100.4\\ \hline
211038	4989	27	3.68	0.05	0.79	0.04	-0.25	0.02	254	33	0.663	3.46	3.554	0.027	3.64	no	1085.2\\ \hline
211369	4984	63	4.44	0.12	0.67	0.19	0.04	0.03	257	35	0.805	4.63	0.287	0.025	6.38	no	127.5\\ \hline
211415	5850	14	4.39	0.04	0.99	0.02	-0.21	0.01	253	35	0.932	4.39	1.098	0.008	4.69	no	301.2\\ \hline
212301	6271	26	4.55	0.03	1.29	0.03	0.18	0.02	248	35	1.276	4.45	1.718	0.033	4.15	yes	309.1\\ \hline
212563	5018	53	4.52	0.10	0.89	0.13	-0.02	0.04	256	34	0.823	4.65	0.287	0.051	6.38	no	103.1\\ \hline
212580	5155	40	4.44	0.07	0.85	0.09	-0.11	0.02	255	34	0.822	4.61	0.349	0.035	6.11	no	292.7\\ \hline
212708	5681	27	4.35	0.04	0.99	0.03	0.27	0.02	256	35	1.003	4.36	1.112	0.030	4.71	no	1033.9\\ \hline
213042	4831	129	4.38	0.28	0.82	0.38	0.08	0.09	256	34	0.788	4.66	0.230	0.014	6.71	no	244.3\\ \hline
213240	5982	17	4.27	0.03	1.25	0.02	0.14	0.01	250	35	1.211	4.18	2.542	0.029	3.76	yes	320.8\\ \hline
213575	5671	13	4.18	0.02	1.02	0.01	-0.15	0.01	255	35	0.903	4.10	1.829	0.026	4.17	no	556.1\\ \hline
213628	5555	20	4.44	0.03	0.82	0.03	0.01	0.01	254	35	0.922	4.51	0.677	0.028	5.27	no	200.4\\ \hline
213941	5532	18	4.41	0.03	0.72	0.03	-0.46	0.01	255	33	0.730	4.30	0.848	0.024	5.04	no	327.7\\ \hline
214385	5654	15	4.43	0.02	0.81	0.02	-0.34	0.01	254	33	0.806	4.34	0.938	0.036	4.90	no	225.9\\ \hline
214759	5461	36	4.37	0.08	0.85	0.06	0.18	0.03	251	35	0.905	4.46	0.689	0.021	5.28	no	338.5\\ \hline
215152	4935	76	4.40	0.14	0.68	0.21	-0.10	0.04	253	33	0.700	4.57	0.277	0.024	6.45	no	298.3\\ \hline
215456	5789	15	4.10	0.03	1.19	0.02	-0.09	0.01	259	35	1.005	4.00	2.775	0.027	3.69	no	1480.5\\ \hline
216435	6008	36	4.20	0.05	1.34	0.03	0.24	0.03	252	35	1.332	4.09	3.468	0.021	3.42	yes	1250.4\\ \hline
216770	5424	51	4.38	0.07	0.91	0.09	0.24	0.04	260	35	0.891	4.41	0.735	0.035	5.22	yes	538.2\\ \hline
216777	5623	13	4.51	0.02	0.81	0.02	-0.38	0.01	252	33	0.808	4.49	0.651	0.039	5.30	no	435.6\\ \hline
218249	5009	53	4.52	0.08	0.46	0.18	-0.40	0.03	251	33	0.731	4.67	0.241	0.043	6.55	no	177.5\\ \hline
218511	4556	98	4.31	0.28	0.41	1.05	-0.10	0.11	255	29	0.708	4.72	0.143	0.012	7.40	no	235.4\\ \hline
218572	4785	50	4.54	0.13	0.50	0.26	-0.56	0.03	255	28	0.680	4.73	0.163	0.019	7.11	no	289.9\\ \hline
219077	5362	18	4.00	0.03	0.92	0.02	-0.13	0.01	258	34	0.812	3.78	2.772	0.015	3.79	no	326.0\\ \hline
219249	5482	13	4.50	0.03	0.74	0.02	-0.40	0.01	251	33	0.762	4.50	0.539	0.026	5.54	no	729.5\\ \hline
220256	5144	48	4.41	0.07	0.47	0.13	-0.10	0.03	256	33	0.703	4.38	0.506	0.045	5.71	no	249.8\\ \hline
220339	5029	52	4.55	0.10	0.76	0.13	-0.35	0.03	256	33	0.666	4.56	0.292	0.021	6.35	no	568.8\\ \hline
220367	6128	25	4.37	0.04	1.34	0.03	-0.21	0.02	255	34	1.082	4.18	2.478	0.023	3.77	no	224.3\\ \hline
220507	5698	17	4.29	0.03	1.01	0.02	0.01	0.01	259	35	0.956	4.23	1.473	0.035	4.40	no	725.6\\ \hline
221146	5876	24	4.27	0.04	1.09	0.03	0.08	0.02	252	34	1.165	4.18	2.270	0.034	3.90	no	571.3\\ \hline
221287	6374	29	4.62	0.03	1.29	0.03	0.04	0.02	250	35	1.296	4.51	1.622	0.038	4.20	yes	381.2\\ \hline
221356	6112	37	4.53	0.04	1.12	0.05	-0.20	0.03	248	33	1.052	4.42	1.381	0.020	4.41	no	853.0\\ \hline
221420	5847	22	4.03	0.03	1.28	0.02	0.33	0.02	257	35	1.393	4.00	3.916	0.014	3.31	no	1621.0\\ \hline
222237	4780	64	4.37	0.14	0.05	0.61	-0.38	0.04	222	25	0.479	4.46	0.216	0.006	6.81	no	568.9\\ \hline
222335	5271	34	4.49	0.05	0.83	0.06	-0.20	0.02	257	33	0.766	4.52	0.439	0.014	5.82	no	332.3\\ \hline
222422	5475	18	4.46	0.03	0.73	0.03	-0.12	0.01	253	34	0.866	4.53	0.562	0.023	5.50	no	415.9\\ \hline
222582	5779	16	4.37	0.03	1.00	0.02	-0.01	0.01	257	35	0.968	4.33	1.245	0.040	4.57	yes	928.3\\ \hline
222595	5648	16	4.46	0.03	0.88	0.02	0.01	0.01	252	35	1.046	4.61	0.652	0.030	5.29	no	728.8\\ \hline
222669	5894	17	4.46	0.02	1.01	0.02	0.05	0.01	252	34	1.057	4.46	1.097	0.022	4.69	no	938.7\\ \hline
223121	5077	81	4.34	0.16	0.74	0.17	0.05	0.04	254	36	0.883	4.68	0.303	0.052	6.29	no	100.1\\ \hline
223171	5841	18	4.20	0.02	1.12	0.02	0.12	0.01	258	34	1.191	4.14	2.475	0.027	3.81	no	1581.0\\ \hline
223282	5328	19	4.49	0.03	0.60	0.05	-0.41	0.01	253	34	0.698	4.47	0.472	0.049	5.73	no	237.9\\ \hline
224393	5774	17	4.54	0.04	0.84	0.03	-0.38	0.01	250	33	0.895	4.55	0.686	0.028	5.22	no	354.2\\ \hline
224619	5436	16	4.39	0.03	0.79	0.03	-0.20	0.01	254	33	0.790	4.44	0.613	0.023	5.41	no	447.9\\ \hline
224789	5185	38	4.44	0.07	1.05	0.07	-0.03	0.02	253	34	0.783	4.53	0.412	0.020	5.92	no	835.7\\ \hline
330075	5025	73	4.32	0.15	0.63	0.18	0.03	0.05	253	35	0.685	4.37	0.463	0.065	5.86	yes	401.8\\ \hline
21539H	4578	83	4.33	0.21	0.25	0.89	-0.33	0.09	235	29	0.672	4.74	0.134	0.040	7.45	no	122.1\\ \hline
22059H	4741	76	4.40	0.18	0.79	0.23	-0.32	0.03	255	33	0.711	4.73	0.165	0.070	7.12	no	262.3\\ \hline
26542H	4750	62	4.48	0.15	0.65	0.23	-0.54	0.03	251	29	0.679	4.76	0.148	0.027	7.24	no	183.0\\ \hline
98764H	4912	66	4.44	0.14	0.38	0.28	-0.28	0.04	255	32	0.762	4.72	0.207	0.042	6.77	no	74.9\\ \hline
 \end{tabular}
